appliance_code,power_watts,duration_minutes,is_night,is_occupied,temp_setting,energy_kwh
0,27400.0,6,1,0,21.4,2.74
3,506.42201834862385,109,0,0,22.9,0.92
0,9660.0,20,0,0,17.9,3.22
3,3375.0,48,1,1,15.5,2.7
5,2533.3333333333335,81,0,1,20.4,3.42
2,738.4615384615385,91,0,1,15.1,1.12
1,12840.0,15,0,0,16.7,3.21
1,5880.0,35,0,0,19.6,3.43
1,1307.4626865671642,67,0,1,18.4,1.46
5,1836.0,50,0,0,24.0,1.53
2,510.2803738317757,107,1,1,22.0,0.91
4,2247.0588235294117,102,0,0,22.3,3.82
4,6471.428571428572,28,1,0,17.6,3.02
3,151.64835164835165,91,0,1,24.3,0.23
3,2005.2631578947369,76,0,1,17.8,2.54
0,2522.0338983050847,118,1,0,24.7,4.96
0,1779.3103448275863,116,1,1,15.4,3.44
1,2413.6363636363635,44,1,0,16.9,1.77
0,2743.75,96,0,1,21.6,4.39
3,13440.0,5,1,0,18.1,1.12
2,21150.000000000004,12,0,1,22.0,4.23
3,5654.545454545455,33,0,0,18.2,3.11
1,1312.0,75,0,0,18.6,1.64
3,2043.4782608695652,69,0,0,17.4,2.35
2,966.6666666666666,108,0,0,15.8,1.74
4,1180.6451612903227,31,0,0,19.2,0.61
3,3060.0,10,1,1,20.8,0.51
4,13410.0,20,1,1,17.1,4.47
3,545.4545454545455,88,0,1,24.3,0.8
2,4166.037735849057,53,1,1,15.1,3.68
1,3343.9999999999995,75,0,0,20.8,4.18
1,2664.0,50,0,0,22.2,2.22
0,6388.235294117647,34,0,0,16.1,3.62
1,38400.0,6,0,0,21.5,3.84
4,3098.901098901099,91,0,1,23.9,4.7
0,432.20338983050846,118,0,0,24.8,0.85
1,4000.0,72,1,0,24.4,4.8
0,1324.5283018867924,106,1,0,20.6,2.34
2,1264.2857142857142,84,1,1,21.8,1.77
2,2575.2808988764045,89,0,0,22.2,3.82
2,1464.7058823529412,68,1,0,16.1,1.66
5,7246.153846153846,39,0,0,16.1,4.71
1,180.0,40,0,0,22.9,0.12
4,173.33333333333334,45,0,1,25.0,0.13
4,639.5604395604396,91,1,0,20.0,0.97
1,1296.2962962962963,81,0,0,22.2,1.75
4,46900.0,6,1,1,23.6,4.69
5,4800.0,10,1,1,23.4,0.8
5,1620.5607476635514,107,0,0,24.1,2.89
1,2575.609756097561,41,0,1,18.9,1.76
1,12776.470588235294,17,0,0,20.9,3.62
1,618.0,100,1,0,19.1,1.03
1,2276.086956521739,92,0,1,16.9,3.49
5,5284.615384615385,52,1,0,16.0,4.58
4,2100.0,36,0,0,19.2,1.26
1,1157.1428571428573,28,0,0,22.3,0.54
5,1784.3478260869565,115,0,0,18.5,3.42
0,589.0909090909091,110,1,0,15.5,1.08
0,836.9747899159664,119,0,1,21.9,1.66
4,3996.923076923077,65,1,0,15.8,4.33
1,3364.044943820225,89,0,1,23.3,4.99
0,1721.7391304347825,23,0,1,23.4,0.66
1,2603.669724770642,109,0,1,22.6,4.73
1,866.6666666666666,45,0,1,15.3,0.65
1,2089.285714285714,56,0,0,24.9,1.95
5,10171.42857142857,21,0,0,15.4,3.56
0,6685.714285714285,21,1,1,18.7,2.34
1,4837.5,48,0,0,20.2,3.87
1,2669.7247706422017,109,0,1,18.5,4.85
5,558.9041095890411,73,0,1,15.1,0.68
3,3571.0843373493976,83,0,1,16.4,4.94
1,84000.0,3,1,0,23.4,4.2
2,566.0377358490566,106,1,1,20.9,1.0
2,3157.5,80,0,1,15.2,4.21
2,2367.2727272727275,55,0,1,19.3,2.17
5,7655.172413793103,29,0,0,23.8,3.7
3,2470.2702702702704,111,0,0,23.3,4.57
3,105.88235294117646,102,0,0,23.2,0.18
2,300.0,62,1,0,22.1,0.31
3,632.1428571428571,56,1,1,16.9,0.59
